# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   3.050000E+01   7.492369E+00  -7.491711E+00  -6.178559E+00  -1.534443E+01  -3.728122E+00  -1.970864E+01  -2.000000E+00  -3.007010E+01  -3.463146E+01  -4.109073E+01  -3.726027E+01  -3.773740E+01  -4.834868E+01  -1.095895E+01  -1.413089E+01  -8.258923E+00  -1.281177E+01  -6.471651E+00  -1.180038E+01  -9.304018E+00  -6.498075E+00  -1.100139E+01  -3.179642E+01  -2.531471E+01  -1.504114E+01  -1.645531E+01  -2.276827E+01  -2.171228E+01  -2.956268E+01  -1.745268E+01  -1.742706E+01  -1.631965E+01
   3.150000E+01   7.496641E+00  -7.495983E+00  -6.177228E+00  -1.535725E+01  -3.728122E+00  -1.971712E+01  -2.000000E+00  -3.007850E+01  -3.464414E+01  -4.109907E+01  -3.726434E+01  -3.773292E+01  -4.835268E+01  -1.096323E+01  -1.414238E+01  -8.254653E+00  -1.282031E+01  -6.474595E+00  -1.180760E+01  -9.304020E+00  -6.493802E+00  -1.099579E+01  -3.181505E+01  -2.532907E+01  -1.504107E+01  -1.645097E+01  -2.275965E+01  -2.172371E+01  -2.957837E+01  -1.745982E+01  -1.743126E+01  -1.632252E+01
   3.250000E+01   7.498639E+00  -7.497981E+00  -6.176610E+00  -1.536324E+01  -3.728122E+00  -1.972108E+01  -2.000000E+00  -3.008244E+01  -3.465007E+01  -4.110297E+01  -3.726625E+01  -3.773083E+01  -4.835456E+01  -1.096523E+01  -1.414776E+01  -8.252655E+00  -1.282431E+01  -6.475975E+00  -1.181098E+01  -9.304021E+00  -6.491804E+00  -1.099317E+01  -3.182378E+01  -2.533580E+01  -1.504104E+01  -1.644894E+01  -2.275563E+01  -2.172905E+01  -2.958571E+01  -1.746317E+01  -1.743323E+01  -1.632387E+01
   3.350000E+01   7.499562E+00  -7.498904E+00  -6.176324E+00  -1.536601E+01  -3.728122E+00  -1.972291E+01  -2.000000E+00  -3.008426E+01  -3.465281E+01  -4.110478E+01  -3.726713E+01  -3.772987E+01  -4.835542E+01  -1.096615E+01  -1.415024E+01  -8.251732E+00  -1.282615E+01  -6.476613E+00  -1.181254E+01  -9.304021E+00  -6.490881E+00  -1.099196E+01  -3.182781E+01  -2.533891E+01  -1.504103E+01  -1.644801E+01  -2.275377E+01  -2.173152E+01  -2.958910E+01  -1.746472E+01  -1.743414E+01  -1.632450E+01
   3.450000E+01   7.499983E+00  -7.499324E+00  -6.176195E+00  -1.536727E+01  -3.728123E+00  -1.972375E+01  -2.000000E+00  -3.008508E+01  -3.465406E+01  -4.110560E+01  -3.726753E+01  -3.772943E+01  -4.835582E+01  -1.096657E+01  -1.415137E+01  -8.251311E+00  -1.282700E+01  -6.476904E+00  -1.181325E+01  -9.304021E+00  -6.490460E+00  -1.099141E+01  -3.182965E+01  -2.534033E+01  -1.504102E+01  -1.644758E+01  -2.275292E+01  -2.173265E+01  -2.959065E+01  -1.746543E+01  -1.743455E+01  -1.632478E+01
   3.550000E+01   7.500173E+00  -7.499514E+00  -6.176136E+00  -1.536784E+01  -3.728123E+00  -1.972413E+01  -2.000000E+00  -3.008546E+01  -3.465462E+01  -4.110597E+01  -3.726771E+01  -3.772923E+01  -4.835600E+01  -1.096676E+01  -1.415188E+01  -8.251122E+00  -1.282737E+01  -6.477035E+00  -1.181357E+01  -9.304021E+00  -6.490270E+00  -1.099116E+01  -3.183048E+01  -2.534097E+01  -1.504102E+01  -1.644739E+01  -2.275254E+01  -2.173316E+01  -2.959135E+01  -1.746574E+01  -1.743474E+01  -1.632491E+01
   3.650000E+01   7.500257E+00  -7.499598E+00  -6.176110E+00  -1.536809E+01  -3.728123E+00  -1.972429E+01  -2.000000E+00  -3.008562E+01  -3.465487E+01  -4.110613E+01  -3.726779E+01  -3.772914E+01  -4.835608E+01  -1.096684E+01  -1.415211E+01  -8.251037E+00  -1.282754E+01  -6.477094E+00  -1.181371E+01  -9.304021E+00  -6.490186E+00  -1.099105E+01  -3.183085E+01  -2.534125E+01  -1.504102E+01  -1.644730E+01  -2.275237E+01  -2.173338E+01  -2.959166E+01  -1.746588E+01  -1.743482E+01  -1.632497E+01
   3.750000E+01   7.500294E+00  -7.499635E+00  -6.176099E+00  -1.536820E+01  -3.728123E+00  -1.972437E+01  -2.000000E+00  -3.008570E+01  -3.465498E+01  -4.110621E+01  -3.726783E+01  -3.772910E+01  -4.835611E+01  -1.096688E+01  -1.415221E+01  -8.251000E+00  -1.282762E+01  -6.477119E+00  -1.181378E+01  -9.304021E+00  -6.490149E+00  -1.099100E+01  -3.183101E+01  -2.534138E+01  -1.504102E+01  -1.644727E+01  -2.275229E+01  -2.173348E+01  -2.959180E+01  -1.746595E+01  -1.743486E+01  -1.632499E+01
   3.850000E+01   7.500310E+00  -7.499652E+00  -6.176094E+00  -1.536825E+01  -3.728123E+00  -1.972440E+01  -2.000000E+00  -3.008573E+01  -3.465503E+01  -4.110624E+01  -3.726784E+01  -3.772909E+01  -4.835613E+01  -1.096690E+01  -1.415225E+01  -8.250984E+00  -1.282765E+01  -6.477131E+00  -1.181380E+01  -9.304021E+00  -6.490133E+00  -1.099098E+01  -3.183108E+01  -2.534143E+01  -1.504102E+01  -1.644725E+01  -2.275226E+01  -2.173352E+01  -2.959185E+01  -1.746597E+01  -1.743487E+01  -1.632500E+01
   3.950000E+01   7.500317E+00  -7.499659E+00  -6.176092E+00  -1.536827E+01  -3.728123E+00  -1.972441E+01  -2.000000E+00  -3.008574E+01  -3.465505E+01  -4.110625E+01  -3.726785E+01  -3.772908E+01  -4.835613E+01  -1.096690E+01  -1.415227E+01  -8.250977E+00  -1.282766E+01  -6.477135E+00  -1.181382E+01  -9.304021E+00  -6.490126E+00  -1.099097E+01  -3.183111E+01  -2.534145E+01  -1.504102E+01  -1.644724E+01  -2.275224E+01  -2.173354E+01  -2.959188E+01  -1.746599E+01  -1.743488E+01  -1.632501E+01
