Observation Name, Region, Functional, Variable, Time, Value
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 5.8201300000000000e+05, 1.3265375903140393e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.2838000000000000e+05, 1.3263868944000723e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.1133900000000000e+05, 1.3262311395913870e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.1400380000000000e+06, 1.3260712257694528e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.4259120000000000e+06, 1.3259079120542966e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.7832540000000000e+06, 1.3257418317057022e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.2299310000000000e+06, 1.3255735077105479e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.7882780000000000e+06, 1.3254033689569479e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.4862120000000000e+06, 1.3252317659960163e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.3586290000000000e+06, 1.3250589837408739e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 5.4491500000000000e+06, 1.3248852528186892e+06
