# Time          1.0000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   8.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.333289E-22   1.442052E-19   1.559686E-16   1.140496E-20   1.140496E-20   2.103959E-14   8.608442E-11   2.944292E-11
   8.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.325078E-22   1.467740E-19   1.625761E-16   1.217487E-20   1.217487E-20   2.193092E-14   8.555427E-11   2.996741E-11
   8.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.316293E-22   1.495272E-19   1.698586E-16   1.304532E-20   1.304532E-20   2.291329E-14   8.498707E-11   3.052954E-11
   8.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.306911E-22   1.524711E-19   1.778808E-16   1.403042E-20   1.403042E-20   2.399547E-14   8.438129E-11   3.113062E-11
   8.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.296899E-22   1.556112E-19   1.867134E-16   1.514642E-20   1.514642E-20   2.518695E-14   8.373488E-11   3.177174E-11
   8.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.286251E-22   1.589554E-19   1.964376E-16   1.641248E-20   1.641248E-20   2.649871E-14   8.304736E-11   3.245453E-11
   8.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.274951E-22   1.625106E-19   2.071427E-16   1.785079E-20   1.785079E-20   2.794278E-14   8.231780E-11   3.318041E-11
   8.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.262979E-22   1.662825E-19   2.189260E-16   1.948713E-20   1.948713E-20   2.953230E-14   8.154478E-11   3.395055E-11
   8.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.250310E-22   1.702764E-19   2.318949E-16   2.135147E-20   2.135147E-20   3.128177E-14   8.072683E-11   3.476599E-11
   8.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.236928E-22   1.744974E-19   2.461690E-16   2.347891E-20   2.347891E-20   3.320729E-14   7.986280E-11   3.562780E-11
   9.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.222814E-22   1.789499E-19   2.618803E-16   2.591039E-20   2.591039E-20   3.532668E-14   7.895152E-11   3.653690E-11
   9.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.207955E-22   1.836386E-19   2.791753E-16   2.869393E-20   2.869393E-20   3.765972E-14   7.799216E-11   3.749420E-11
   9.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.192349E-22   1.885685E-19   2.982186E-16   3.188602E-20   3.188602E-20   4.022859E-14   7.698457E-11   3.850076E-11
   9.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.175979E-22   1.937415E-19   3.191876E-16   3.555241E-20   3.555241E-20   4.305722E-14   7.592760E-11   3.955696E-11
   9.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.158837E-22   1.991601E-19   3.422805E-16   3.977057E-20   3.977057E-20   4.617237E-14   7.482083E-11   4.066327E-11
   9.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.140910E-22   2.048237E-19   3.677129E-16   4.463109E-20   4.463109E-20   4.960311E-14   7.366337E-11   4.181964E-11
   9.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.122213E-22   2.107355E-19   3.957311E-16   5.024149E-20   5.024149E-20   5.338266E-14   7.245620E-11   4.302669E-11
   9.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.102753E-22   2.168958E-19   4.266033E-16   5.672795E-20   5.672795E-20   5.754720E-14   7.119972E-11   4.428445E-11
   9.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.082529E-22   2.233016E-19   4.606213E-16   6.423860E-20   6.423860E-20   6.213610E-14   6.989396E-11   4.559234E-11
   9.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.061550E-22   2.299492E-19   4.981076E-16   7.294816E-20   7.294816E-20   6.719287E-14   6.853947E-11   4.694961E-11
