# Time          1.5000E+00
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   3.050000E+01   2.925769E+00  -2.912610E+00  -8.627016E+00  -4.529908E+00  -3.593840E+00  -5.126799E+00  -2.000000E+00  -1.009180E+01  -1.002182E+01  -1.571598E+01  -1.649123E+01  -2.610156E+01  -2.218319E+01  -9.377310E+00  -5.916937E+00  -1.581048E+01  -6.624415E+00  -4.392859E+00  -5.168154E+00  -1.230214E+01  -1.105153E+01  -1.795086E+01  -8.555668E+00  -6.653722E+00  -9.644769E+00  -1.561238E+01  -2.645258E+01  -5.103842E+00  -8.348525E+00  -5.423996E+00  -7.450920E+00  -8.844404E+00
   3.150000E+01   2.925782E+00  -2.912628E+00  -8.625222E+00  -4.529051E+00  -3.593731E+00  -5.136021E+00  -2.000000E+00  -1.011020E+01  -1.004026E+01  -1.574355E+01  -1.651878E+01  -2.612908E+01  -2.221991E+01  -9.376389E+00  -5.914230E+00  -1.580953E+01  -6.623523E+00  -4.391065E+00  -5.166368E+00  -1.230120E+01  -1.105152E+01  -1.794908E+01  -8.561290E+00  -6.659325E+00  -9.653945E+00  -1.562154E+01  -2.646175E+01  -5.111249E+00  -8.355961E+00  -5.431385E+00  -7.460114E+00  -8.851785E+00
   3.250000E+01   2.925749E+00  -2.912604E+00  -8.621877E+00  -4.528259E+00  -3.593622E+00  -5.153923E+00  -2.000000E+00  -1.014603E+01  -1.007611E+01  -1.579731E+01  -1.657254E+01  -2.618291E+01  -2.229160E+01  -9.375592E+00  -5.909981E+00  -1.580880E+01  -6.622722E+00  -4.387655E+00  -5.162915E+00  -1.230043E+01  -1.105156E+01  -1.794582E+01  -8.572291E+00  -6.670350E+00  -9.671874E+00  -1.563952E+01  -2.647978E+01  -5.125703E+00  -8.370411E+00  -5.445862E+00  -7.478020E+00  -8.866305E+00
   3.350000E+01   2.925634E+00  -2.912505E+00  -8.615669E+00  -4.527588E+00  -3.593514E+00  -5.189009E+00  -2.000000E+00  -1.021636E+01  -1.014641E+01  -1.590289E+01  -1.667818E+01  -2.628878E+01  -2.243249E+01  -9.375023E+00  -5.902904E+00  -1.580846E+01  -6.622090E+00  -4.381280E+00  -5.156408E+00  -1.229995E+01  -1.105170E+01  -1.793981E+01  -8.594424E+00  -6.692580E+00  -9.707119E+00  -1.567489E+01  -2.651533E+01  -5.154344E+00  -8.398989E+00  -5.474599E+00  -7.513168E+00  -8.895175E+00
   3.450000E+01   2.925401E+00  -2.912295E+00  -8.604453E+00  -4.527130E+00  -3.593405E+00  -5.258867E+00  -2.000000E+00  -1.035644E+01  -1.028638E+01  -1.611320E+01  -1.688865E+01  -2.649971E+01  -2.271317E+01  -9.374847E+00  -5.890944E+00  -1.580875E+01  -6.621757E+00  -4.369755E+00  -5.144623E+00  -1.229998E+01  -1.105196E+01  -1.792896E+01  -8.640871E+00  -6.739234E+00  -9.777343E+00  -1.574538E+01  -2.658612E+01  -5.212575E+00  -8.457063E+00  -5.533038E+00  -7.583184E+00  -8.953873E+00
   3.550000E+01   2.925021E+00  -2.911936E+00  -8.585505E+00  -4.527013E+00  -3.593296E+00  -5.402949E+00  -2.000000E+00  -1.064528E+01  -1.057495E+01  -1.654678E+01  -1.732254E+01  -2.693437E+01  -2.329182E+01  -9.375324E+00  -5.871621E+00  -1.580999E+01  -6.621922E+00  -4.350357E+00  -5.124822E+00  -1.230082E+01  -1.105236E+01  -1.791050E+01  -8.745665E+00  -6.844385E+00  -9.922094E+00  -1.589053E+01  -2.673173E+01  -5.337169E+00  -8.581344E+00  -5.657990E+00  -7.727579E+00  -9.079228E+00
   3.650000E+01   2.924649E+00  -2.911575E+00  -8.558042E+00  -4.527312E+00  -3.593188E+00  -5.733327E+00  -2.000000E+00  -1.130673E+01  -1.123609E+01  -1.753931E+01  -1.831541E+01  -2.792798E+01  -2.461577E+01  -9.376283E+00  -5.844328E+00  -1.581169E+01  -6.622543E+00  -4.322488E+00  -5.096570E+00  -1.230214E+01  -1.105274E+01  -1.788347E+01  -9.019877E+00  -7.118957E+00  -1.025317E+01  -1.622199E+01  -2.706359E+01  -5.639633E+00  -8.883471E+00  -5.960813E+00  -8.058294E+00  -9.382435E+00
   3.750000E+01   2.924653E+00  -2.911580E+00  -8.537653E+00  -4.527346E+00  -3.593079E+00  -6.399808E+00  -2.000000E+00  -1.263968E+01  -1.256905E+01  -1.953873E+01  -2.031482E+01  -2.992737E+01  -2.728164E+01  -9.376296E+00  -5.823952E+00  -1.581170E+01  -6.622566E+00  -4.302097E+00  -5.076181E+00  -1.230215E+01  -1.105274E+01  -1.786309E+01  -9.645570E+00  -7.744645E+00  -1.091964E+01  -1.688846E+01  -2.773006E+01  -6.285716E+00  -9.529563E+00  -6.606891E+00  -8.724766E+00  -1.002851E+01
   3.850000E+01   2.924758E+00  -2.911685E+00  -8.532511E+00  -4.526677E+00  -3.592971E+00  -7.287249E+00  -2.000000E+00  -1.441435E+01  -1.434382E+01  -2.220063E+01  -2.297662E+01  -3.258897E+01  -3.083068E+01  -9.375423E+00  -5.818152E+00  -1.581061E+01  -6.621795E+00  -4.297064E+00  -5.071254E+00  -1.230117E+01  -1.105263E+01  -1.785784E+01  -1.052305E+01  -8.622025E+00  -1.180687E+01  -1.777558E+01  -2.861708E+01  -7.168127E+00  -1.041208E+01  -7.489198E+00  -9.612105E+00  -1.091071E+01
   3.950000E+01   2.924846E+00  -2.911771E+00  -8.531763E+00  -4.525799E+00  -3.592862E+00  -8.208325E+00  -2.000000E+00  -1.625633E+01  -1.618588E+01  -2.496352E+01  -2.573943E+01  -3.535160E+01  -3.451439E+01  -9.374380E+00  -5.816541E+00  -1.580940E+01  -6.620835E+00  -4.296408E+00  -5.070687E+00  -1.230004E+01  -1.105254E+01  -1.785699E+01  -1.144291E+01  -9.541797E+00  -1.272778E+01  -1.869640E+01  -2.953780E+01  -8.088552E+00  -1.133259E+01  -8.409536E+00  -1.053310E+01  -1.183096E+01
   4.050000E+01   2.924929E+00  -2.911853E+00  -8.531605E+00  -4.524894E+00  -3.592754E+00  -9.115410E+00  -2.000000E+00  -1.807034E+01  -1.799997E+01  -2.768446E+01  -2.846028E+01  -3.807229E+01  -3.814217E+01  -9.373320E+00  -5.815496E+00  -1.580817E+01  -6.619854E+00  -4.296338E+00  -5.070701E+00  -1.229890E+01  -1.105246E+01  -1.785674E+01  -1.234995E+01  -1.044875E+01  -1.363470E+01  -1.960324E+01  -3.044455E+01  -8.995573E+00  -1.223968E+01  -9.316476E+00  -1.144010E+01  -1.273782E+01
   4.150000E+01   2.925009E+00  -2.911932E+00  -8.531519E+00  -4.523987E+00  -3.592646E+00  -1.000153E+01  -2.000000E+00  -1.984243E+01  -1.977213E+01  -3.034251E+01  -3.111826E+01  -4.073010E+01  -4.168611E+01  -9.372264E+00  -5.814521E+00  -1.580695E+01  -6.618873E+00  -4.296337E+00  -5.070783E+00  -1.229776E+01  -1.105238E+01  -1.785657E+01  -1.323616E+01  -1.133488E+01  -1.452067E+01  -2.048912E+01  -3.133035E+01  -9.881700E+00  -1.312589E+01  -1.020252E+01  -1.232615E+01  -1.362378E+01
