# Time          1.5000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   8.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.406531E-22   1.209269E-19   1.039672E-16   6.043239E-21   6.043239E-21   1.402479E-14   9.081332E-11   2.469011E-11
   9.050000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.405873E-22   1.211246E-19   1.043562E-16   6.078612E-21   6.078612E-21   1.407727E-14   9.077084E-11   2.473047E-11
   9.150000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.405152E-22   1.213432E-19   1.047871E-16   6.117863E-21   6.117863E-21   1.413539E-14   9.072427E-11   2.477511E-11
   9.250000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.404367E-22   1.215848E-19   1.052635E-16   6.161356E-21   6.161356E-21   1.419966E-14   9.067360E-11   2.482444E-11
   9.350000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.403513E-22   1.218509E-19   1.057892E-16   6.209456E-21   6.209456E-21   1.427057E-14   9.061847E-11   2.487878E-11
   9.450000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.402584E-22   1.221433E-19   1.063678E-16   6.262543E-21   6.262543E-21   1.434862E-14   9.055848E-11   2.493846E-11
   9.550000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.401569E-22   1.224630E-19   1.070029E-16   6.321006E-21   6.321006E-21   1.443430E-14   9.049291E-11   2.500375E-11
   9.650000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.400467E-22   1.228124E-19   1.076991E-16   6.385304E-21   6.385304E-21   1.452821E-14   9.042175E-11   2.507509E-11
   9.750000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.399280E-22   1.231940E-19   1.084612E-16   6.455939E-21   6.455939E-21   1.463102E-14   9.034512E-11   2.515299E-11
   9.850000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.398004E-22   1.236096E-19   1.092940E-16   6.533414E-21   6.533414E-21   1.474335E-14   9.026273E-11   2.523785E-11
   9.950000E+01   6.360000E-03   6.360000E-03   6.360000E-03   1.396631E-22   1.240611E-19   1.102020E-16   6.618254E-21   6.618254E-21   1.486585E-14   9.017413E-11   2.533004E-11
